Component,Core Cycles,System Cycles,Kernel Cycles,User Cycles,Kernel Entries,Schedules,Core CPU Util,Core Kernel CPU Util,Core User CPU Util
System Total 10Mb/s,255779747500,6884142137,2345402925,4538739212,3750186,3305226,2.69,0.92,1.77
System Total 20Mb/s,138207833678,7232440020,2462907958,4769532062,3753097,3269786,5.23,1.78,3.45
System Total 50Mb/s,67542155446,8210103801,2748233711,5461870090,4143416,3548264,12.16,4.07,8.09
System Total 100Mb/s,43915072899,9534041954,3088965803,6445076151,4640894,3947418,21.71,7.03,14.68
System Total 200Mb/s,32227742646,11139842224,3365538926,7774303298,4984565,4104490,34.57,10.44,24.12
System Total 300Mb/s,28291157075,11455279171,3084836180,8370442991,4550683,3647039,40.49,10.9,29.59
System Total 400Mb/s,26288971290,11704373094,2768381749,8935991345,4085014,3126795,44.52,10.53,33.99
System Total 500Mb/s,25083723145,11723877978,2242243385,9481634593,3317372,2435931,46.74,8.94,37.8
System Total 600Mb/s,24287184341,12292018789,1954840745,10337178044,2901380,2107341,50.61,8.05,42.56
System Total 700Mb/s,23812160581,12860406131,1704193705,11156212426,2572986,1815424,54.01,7.16,46.85
System Total 800Mb/s,23391321584,13453049451,1487829970,11965219481,2182052,1592245,57.51,6.36,51.15
System Total 900Mb/s,23065623306,14006058026,1211924426,12794133600,1732469,1313832,60.72,5.25,55.47
System Total 1000Mb/s,22875019571,14359673576,1077070433,13282603143,1526862,1169472,62.77,4.71,58.07

TEST 1: 10Mb/s
CORE 0 TOTAL,255779747500,6884142137,2345402925,4538739212,3750186,3305226,2.69,0.92,1.77
serial_driver,255779747500,34193,3102,31091,2,2,0.0,0.0,0.0
serial_virt_tx,255779747500,13537,4111,9426,2,2,0.0,0.0,0.0
ethernet_driver,255779747500,2344411744,800610529,1543801215,983130,978088,0.92,0.31,0.6
net_virt_tx,255779747500,1002157321,378698824,623458497,380862,380862,0.39,0.15,0.24
net_virt_rx,255779747500,1384789428,638028332,746761096,860805,641642,0.54,0.25,0.29
client0,255779747500,887693800,136566688,751127112,220519,220461,0.35,0.05,0.29
client0_net_copier,255779747500,1177592261,370435015,807157246,644727,427534,0.46,0.14,0.32
client1,255779747500,16526731,5403203,11123528,9582,9582,0.01,0.0,0.0
client1_net_copier,255779747500,1470378,427066,1043312,478,319,0.0,0.0,0.0
timer_driver,255779747500,69452744,15226055,54226689,27523,24244,0.03,0.01,0.02

TEST 2: 20Mb/s
CORE 0 TOTAL,138207833678,7232440020,2462907958,4769532062,3753097,3269786,5.23,1.78,3.45
serial_driver,138207833678,33983,2834,31149,2,2,0.0,0.0,0.0
serial_virt_tx,138207833678,13241,3798,9443,2,2,0.0,0.0,0.0
ethernet_driver,138207833678,2445809894,830002513,1615807381,1022645,1015146,1.77,0.6,1.17
net_virt_tx,138207833678,1034991467,390380506,644610961,390570,390570,0.75,0.28,0.47
net_virt_rx,138207833678,1483379356,680942012,802437344,926789,686809,1.07,0.49,0.58
client0,138207833678,927774005,138571816,789202189,222839,222696,0.67,0.1,0.57
client0_net_copier,138207833678,1288742627,411118633,877623994,714340,480597,0.93,0.3,0.64
client1,138207833678,11149075,3378823,7770252,5046,5046,0.01,0.0,0.01
client1_net_copier,138207833678,771950,203723,568227,203,136,0.0,0.0,0.0
timer_driver,138207833678,39774422,8303300,31471122,15085,13245,0.03,0.01,0.02

TEST 3: 50Mb/s
