Component,Core Cycles,System Cycles,Kernel Cycles,User Cycles,Kernel Entries,Schedules,Core CPU Util,Core Kernel CPU Util,Core User CPU Util
System Total 10Mb/s,255793402868,6606801576,2343288021,4263513555,3777392,3336283,2.58,0.92,1.67
System Total 20Mb/s,138018350312,6817786156,2395701633,4422084523,3735790,3250431,4.94,1.74,3.2
System Total 50Mb/s,67540796359,8385577318,2949749564,5435827754,4484718,3925304,12.42,4.37,8.05
System Total 100Mb/s,43908308653,9334356235,3156583862,6177772373,4736492,4052446,21.26,7.19,14.07
System Total 200Mb/s,32227640201,10731555365,3335212629,7396342736,4939473,4138969,33.3,10.35,22.95
System Total 300Mb/s,28294010743,10816474884,2926866568,7889608316,4355370,3479282,38.23,10.34,27.88
System Total 400Mb/s,26286329225,11324336212,2712025048,8612311164,4078210,3061683,43.08,10.32,32.76
System Total 500Mb/s,25085361826,11588121409,2276678771,9311442638,3401262,2469361,46.19,9.08,37.12
System Total 600Mb/s,24282843558,12291655124,2034930425,10256724699,3009518,2194458,50.62,8.38,42.24
System Total 700Mb/s,23816266431,12781545173,1700238326,11081306847,2582178,1831193,53.67,7.14,46.53
System Total 800Mb/s,23393061355,13395569887,1514528539,11881041348,2244861,1627531,57.26,6.47,50.79
System Total 900Mb/s,23065440476,13997881315,1235078870,12762802445,1786388,1346082,60.69,5.35,55.33
System Total 1000Mb/s,22875409661,14345030338,1107448647,13237581691,1578459,1215388,62.71,4.84,57.87

TEST 1: 10Mb/s
CORE 0 TOTAL,255793402868,6606801576,2343288021,4263513555,3777392,3336283,2.58,0.92,1.67
serial_driver,255793402868,31390,2766,28624,2,2,0.0,0.0,0.0
serial_virt_tx,255793402868,13194,4871,8323,2,2,0.0,0.0,0.0
ethernet_driver,255793402868,2229641411,782598177,1447043234,978098,974978,0.87,0.31,0.57
net_virt_tx,255793402868,919010725,379912280,539098445,380782,380782,0.36,0.15,0.21
net_virt_rx,255793402868,1310658320,642523930,668134390,870224,653017,0.51,0.25,0.26
client0,255793402868,895616089,141465860,754150229,227413,227340,0.35,0.06,0.29
client0_net_copier,255793402868,1165485400,375281086,790204314,650970,433721,0.46,0.15,0.31
client1,255793402868,16145378,5610778,10534600,9576,9576,0.01,0.0,0.0
client1_net_copier,255793402868,1303962,375005,928957,376,251,0.0,0.0,0.0
timer_driver,255793402868,68895707,15513268,53382439,27513,24245,0.03,0.01,0.02

TEST 2: 20Mb/s
CORE 0 TOTAL,138018350312,6817786156,2395701633,4422084523,3735790,3250431,4.94,1.74,3.2
serial_driver,138018350312,32200,2782,29418,2,2,0.0,0.0,0.0
serial_virt_tx,138018350312,14080,3623,10457,2,2,0.0,0.0,0.0
ethernet_driver,138018350312,2337428196,808160762,1529267434,1016606,1010417,1.69,0.59,1.11
net_virt_tx,138018350312,923485552,379695915,543789637,380391,380391,0.67,0.28,0.39
net_virt_rx,138018350312,1373696578,669925020,703771558,915300,672224,1.0,0.49,0.51
client0,138018350312,914341978,136249282,778092696,218516,218422,0.66,0.1,0.56
client0_net_copier,138018350312,1218678677,389188552,829490125,684352,450237,0.88,0.28,0.6
client1,138018350312,10899983,3544149,7355834,5157,5157,0.01,0.0,0.01
client1_net_copier,138018350312,502350,140760,361590,141,94,0.0,0.0,0.0
timer_driver,138018350312,38706562,8790788,29915774,14948,13149,0.03,0.01,0.02

TEST 3: 50Mb/s
CORE 0 TOTAL,67540796359,8385577318,2949749564,5435827754,4484718,3925304,12.42,4.37,8.05
serial_driver,67540796359,31687,2832,28855,2,2,0.0,0.0,0.0
